Year,Month,Date,Tm,Pm,TmA,PmA,P
1970,12,1970/12/01,-3,60.4,-2.503,-93.24,0
1971,1,1971/1/01,-1.5,171.9,-0.645,22.326,1
1971,2,1971/2/01,0.2,35.9,1.2,-100.34,0
1971,3,1971/3/01,-3.3,138.7,-4.103,-3.617,0
1971,4,1971/4/01,1.9,230.5,-1.09,102.13,1
1971,5,1971/5/01,3.5,334.9,-3.44,206.353,1
1971,6,1971/6/01,8.9,158.6,-2.757,82.847,1
1971,7,1971/7/01,14.7,29.8,-1.433,5.357,1
1971,8,1971/8/01,14.4,33.4,-1.207,3.85,1
1971,9,1971/9/01,13,14,1.227,-77.66,0
1971,10,1971/10/01,9.3,88.9,2.613,-65.533,0
1971,11,1971/11/01,-0.8,117.9,-3.063,-62.317,0
1971,12,1971/12/01,0.3,172.1,0.797,18.46,1
1972,1,1972/1/01,-4,279.9,-3.145,130.326,1
1972,2,1972/2/01,-2.6,420.1,-1.6,283.86,1
1972,3,1972/3/01,-1.3,263.4,-2.103,121.083,1
1972,4,1972/4/01,0.2,93,-2.79,-35.37,0
1972,5,1972/5/01,4.3,142.5,-2.64,13.953,1
1972,6,1972/6/01,10.6,41,-1.057,-34.753,0
1972,7,1972/7/01,15.4,1.6,-0.733,-22.843,0
1972,8,1972/8/01,14.2,26.4,-1.407,-3.15,0
1972,9,1972/9/01,7.9,189.2,-3.873,97.54,1
1972,10,1972/10/01,4.8,512,-1.887,357.567,1
1972,11,1972/11/01,2.8,256.9,0.537,76.683,1
1972,12,1972/12/01,-0.7,153.8,-0.203,0.16,1
1973,1,1973/1/01,-1.1,90.9,-0.245,-58.674,0
1973,2,1973/2/01,-2.5,80.3,-1.5,-55.94,0
1973,3,1973/3/01,0.3,65.7,-0.503,-76.617,0
1973,4,1973/4/01,3.1,29.5,0.11,-98.87,0
1973,5,1973/5/01,7,254.1,0.06,125.553,1
1973,6,1973/6/01,10.8,84.2,-0.857,8.447,1
1973,7,1973/7/01,14.2,50.7,-1.933,26.257,1
1973,8,1973/8/01,17.2,42.8,1.593,13.25,1
1973,9,1973/9/01,12,5.5,0.227,-86.16,0
1973,10,1973/10/01,6.7,68,0.013,-86.433,0
1973,11,1973/11/01,4.7,170.2,2.437,-10.017,0
1973,12,1973/12/01,-2.1,261.9,-1.603,108.26,1
1974,1,1974/1/01,0.1,150.2,0.955,0.626,1
1974,2,1974/2/01,-2.9,202.8,-1.9,66.56,1
1974,3,1974/3/01,-0.7,208.1,-1.503,65.783,1
1974,4,1974/4/01,1,86.8,-1.99,-41.57,0
1974,5,1974/5/01,7.2,61.4,0.26,-67.147,0
1974,6,1974/6/01,10.9,122.1,-0.757,46.347,1
1974,7,1974/7/01,15.8,30.4,-0.333,5.957,1
1974,8,1974/8/01,15.3,5.8,-0.307,-23.75,0
1974,9,1974/9/01,11.1,8.7,-0.673,-82.96,0
1974,10,1974/10/01,2.2,86.9,-4.487,-67.533,0
1974,11,1974/11/01,2.2,224.8,-0.063,44.583,1
1974,12,1974/12/01,4.5,18.1,4.997,-135.54,0
1975,1,1975/1/01,1.4,217.9,2.255,68.326,1
1975,2,1975/2/01,-0.1,140.6,0.9,4.36,1
1975,3,1975/3/01,-2.5,140,-3.303,-2.317,0
1975,4,1975/4/01,2.1,212.7,-0.89,84.33,1
1975,5,1975/5/01,3.9,188.6,-3.04,60.053,1
1975,6,1975/6/01,10.6,66.7,-1.057,-9.053,0
1975,7,1975/7/01,17.7,5,1.567,-19.443,0
1975,8,1975/8/01,15.1,34.4,-0.507,4.85,1
1975,9,1975/9/01,9.8,114,-1.973,22.34,1
1975,10,1975/10/01,7.5,21,0.813,-133.433,0
1975,11,1975/11/01,0.8,88.2,-1.463,-92.017,0
1975,12,1975/12/01,-2.3,119.9,-1.803,-33.74,0
1976,1,1976/1/01,2.1,43.1,2.955,-106.474,0
1976,2,1976/2/01,-1.4,70.7,-0.4,-65.54,0
1976,3,1976/3/01,1.1,103.5,0.297,-38.817,0
1976,4,1976/4/01,1,195.9,-1.99,67.53,1
1976,5,1976/5/01,9.5,80.5,2.56,-48.047,0
1976,6,1976/6/01,13.4,63.9,1.743,-11.853,0
1976,7,1976/7/01,15.2,86.6,-0.933,62.157,1
1976,8,1976/8/01,14.6,97.9,-1.007,68.35,1
1976,9,1976/9/01,9.9,197.7,-1.873,106.04,1
1976,10,1976/10/01,3.5,259.4,-3.187,104.967,1
1976,11,1976/11/01,0.9,254.7,-1.363,74.483,1
1976,12,1976/12/01,0.5,289.4,0.997,135.76,1
1977,1,1977/1/01,-1.3,180.7,-0.445,31.126,1
1977,2,1977/2/01,-0.2,231.4,0.8,95.16,1
1977,3,1977/3/01,2,80.2,1.197,-62.117,0
1977,4,1977/4/01,4.5,85.3,1.51,-43.07,0
1977,5,1977/5/01,4.2,172.8,-2.74,44.253,1
1977,6,1977/6/01,8.3,125.4,-3.357,49.647,1
1977,7,1977/7/01,10.9,121.2,-5.233,96.757,1
1977,8,1977/8/01,12.3,22,-3.307,-7.55,0
1977,9,1977/9/01,14.2,10.4,2.427,-81.26,0
1977,10,1977/10/01,7.6,231,0.913,76.567,1
1977,11,1977/11/01,2.1,63,-0.163,-117.217,0
1977,12,1977/12/01,2.1,268.4,2.597,114.76,1
1978,1,1978/1/01,-2.1,188.5,-1.245,38.926,1
1978,2,1978/2/01,-0.5,262.9,0.5,126.66,1
1978,3,1978/3/01,1.2,115.3,0.397,-27.017,0
1978,4,1978/4/01,0.6,229.9,-2.39,101.53,1
1978,5,1978/5/01,4.2,122.8,-2.74,-5.747,0
1978,6,1978/6/01,8.3,111.3,-3.357,35.547,1
1978,7,1978/7/01,15.9,0,-0.233,-24.443,0
1978,8,1978/8/01,17.4,15.1,1.793,-14.45,0
1978,9,1978/9/01,15.8,42.9,4.027,-48.76,0
1978,10,1978/10/01,7.2,43.6,0.513,-110.833,0
1978,11,1978/11/01,2.7,245.4,0.437,65.183,1
1978,12,1978/12/01,0.3,300.9,0.797,147.26,1
1979,1,1979/1/01,-0.4,272.5,0.455,122.926,1
1979,2,1979/2/01,-1.6,313.5,-0.6,177.26,1
1979,3,1979/3/01,-0.9,192.4,-1.703,50.083,1
1979,4,1979/4/01,-0.2,141,-3.19,12.63,1
1979,5,1979/5/01,7.7,51.9,0.76,-76.647,0
1979,6,1979/6/01,13.3,60.2,1.643,-15.553,0
1979,7,1979/7/01,15.7,28.4,-0.433,3.957,1
1979,8,1979/8/01,15.7,10,0.093,-19.55,0
1979,9,1979/9/01,11.9,44,0.127,-47.66,0
1979,10,1979/10/01,4.6,354.7,-2.087,200.267,1
1979,11,1979/11/01,3.9,180.5,1.637,0.283,1
1979,12,1979/12/01,1.4,142,1.897,-11.64,0
1980,1,1980/1/01,-1,89.6,-0.145,-59.974,0
1980,2,1980/2/01,1.6,151.8,2.6,15.56,1
1980,3,1980/3/01,0.3,136.4,-0.503,-5.917,0
1980,4,1980/4/01,2.5,132.4,-0.49,4.03,1
1980,5,1980/5/01,4.2,204.7,-2.74,76.153,1
1980,6,1980/6/01,10.8,34.4,-0.857,-41.353,0
1980,7,1980/7/01,14.8,13.7,-1.333,-10.743,0
1980,8,1980/8/01,17.4,42.6,1.793,13.05,1
1980,9,1980/9/01,15.3,13.1,3.527,-78.56,0
1980,10,1980/10/01,7,110.1,0.313,-44.333,0
1980,11,1980/11/01,2.2,112.8,-0.063,-67.417,0
1980,12,1980/12/01,-1.5,183.6,-1.003,29.96,1
1981,1,1981/1/01,0.9,36.3,1.755,-113.274,0
1981,2,1981/2/01,-1,98.3,0,-37.94,0
1981,3,1981/3/01,3,117.1,2.197,-25.217,0
1981,4,1981/4/01,2,229.1,-0.99,100.73,1
1981,5,1981/5/01,5,113.2,-1.94,-15.347,0
